plant_species,leaf_condition,original_leaf_image_count,augmented_leaf_image_count,collection_location
Aloe Vera,Disease,69,931,"Rajbari, Dhaka, Bangladesh"
,Dried,61,939,"Rajbari, Dhaka, Bangladesh"
,Mature Healthy,59,941,"Rajbari, Dhaka, Bangladesh"
,Young Healthy,57,943,"Rajbari, Dhaka, Bangladesh"
Azadirachta Indica,Chlorotic,119,881,"Rajbari, Dhaka, Bangladesh"
,Disease,124,876,"Rajbari, Dhaka, Bangladesh"
,Healthy,153,847,"Rajbari, Dhaka, Bangladesh"
Centella Asiatica ,Healthy,197,803,"Hajigonj, Chandpur, Bangladesh"
,Insects,64,936,"Hajigonj, Chandpur, Bangladesh"
,Mild Disease,78,922,"Hajigonj, Chandpur, Bangladesh"
Hibiscus Rosa Sinensis,Chlorotic,75,925,"Rajbari, Dhaka, Bangladesh"
,Disease,65,935,"Rajbari, Dhaka, Bangladesh"
,Healthy,71,929,"Rajbari, Dhaka, Bangladesh"
Kalanchoe Pinnata,Chlorotic,59,941,"Ashulia, Dhaka, Bangladesh"
,Disease,73,927,"Ashulia, Dhaka, Bangladesh"
,Healthy,52,948,"Ashulia, Dhaka, Bangladesh"
Mikania Micrantha,Disease,87,913,"Hajigonj, Chandpur, Bangladesh"
,Distorted,114,886,"Hajigonj, Chandpur, Bangladesh"
,Healthy,118,882,"Hajigonj, Chandpur, Bangladesh"
Piper Betle,Chlorotic,109,891,"Rajbari, Dhaka, Bangladesh"
,Disease,95,905,"Rajbari, Dhaka, Bangladesh"
,Healthy,82,918,"Mirpur, Dhaka, Bangladesh"
,Total,"1,981","20,019",
,,,,
